SITE,RIVER,STATION NAME,TIME/DATE,SinceLast 09:00,24 Hr toLast 09:00,24 Hr toPrev 09:00,3 DAYTOTAL,MAX RECRAINFALL,DATE,SITE_URL,STATION_URL
509129509129 - Brookdale SidingComments:No additonal comments.,Marrinup Brook,Brookdale Siding,06:00 27Aug2025,0.0,15.6,7.2,22.8,141.1,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509129/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509129/509129.htm
509141509141 - Chittering RdComments:No additonal comments.,Julimar Brook,Chittering Rd,06:00 27Aug2025,0.4,16.0,32.0,48.4,99.0,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509141/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509141/509141.htm
509158509158 - Molecap HillComments:No additonal comments.,Lennards Brook,Molecap Hill,06:00 27Aug2025,0.8,19.0,34.0,53.8,129.6,23JAN1999,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509158/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509158/509158.htm
509168509168 - Hill River SpringsComments:No additonal comments.,Hill River,Hill River Springs,06:05 27Aug2025,0.8,19.8,16.6,37.2,80.0,07FEB2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509168/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509168/509168.htm
509169509169 - Bookine BookineComments:No additonal comments.,Gingin Brook,Bookine Bookine,06:00 27Aug2025,8.0,27.0,28.0,63.0,127.3,09FEB1992,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509169/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509169/509169.htm
509184509184 - Lawson RdComments:No additonal comments.,Rosa Brook,Lawson Rd,06:00 27Aug2025,1.0,9.2,10.6,20.8,95.4,04AUG1997,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509184/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509184/509184.htm
509191509191 - Harman South RoadComments:No additonal comments.,Wilyabrup Brook,Harman South Road,06:00 27Aug2025,3.2,10.4,18.0,31.6,88.8,27JUL2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509191/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509191/509191.htm
509195509195 - FairfieldComments:No additonal comments.,Lort River,Fairfield,06:05 27Aug2025,6.8,0.2,1.2,8.2,118.4,14APR2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509195/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509195/509195.htm
509196509196 - Baldania Ck ConfluComments:No additonal comments.,Gardner River,Baldania Ck Conflu,06:05 27Aug2025,2.8,19.4,23.8,46.0,94.3,14MAY1988,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509196/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509196/509196.htm
509199509199 - Brennans FordComments:No additonal comments.,Scott River,Brennans Ford,06:05 27Aug2025,3.6,9.2,13.8,26.6,79.6,02JUN1994,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509199/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509199/509199.htm
509210509210 - Corballup RdComments:No additonal comments.,Perup River,Corballup Rd,06:00 27Aug2025,0.8,14.6,17.6,33.0,94.0,19JAN2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509210/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509210/509210.htm
509212509212 - Quabicup HillComments:No additonal comments.,Perup River,Quabicup Hill,06:05 27Aug2025,2.8,21.4,22.6,46.8,97.8,19JAN2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509212/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509212/509212.htm
509214509214 - WaterousComments:No additonal comments.,Bancell Brook,Waterous,06:05 27Aug2025,0.4,15.2,28.4,44.0,160.7,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509214/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509214/509214.htm
509219509219 - Woodperry HomesteadComments:GS 611 111,Thompson Brook,Woodperry Homestead,06:05 27Aug2025,1.0,7.6,16.0,24.6,116.5,09APR1985,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509219/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509219/509219.htm
509220509220 - Wights CatchmentComments:No additonal comments.,Salmon Brook Trib,Wights Catchment,06:00 27Aug2025,0.2,3.4,28.2,31.8,123.2,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509220/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509220/509220.htm
509221509221 - Oneil RdComments:No additonal comments.,Big Brook,Oneil Rd,06:00 27Aug2025,0.2,12.2,40.4,52.8,138.2,16JAN2018,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509221/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509221/509221.htm
509228509228 - KompupComments:No additonal comments.,Denmark River,Kompup,06:05 27Aug2025,3.6,25.6,12.8,42.0,105.1,02APR2005,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509228/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509228/509228.htm
509243509243 - MyalupComments:No additonal comments.,Harvey Diversion Drain,Myalup,06:00 27Aug2025,0.0,7.0,19.6,26.6,89.5,09APR1985,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509243/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509243/509243.htm
509248509248 - Dons CatchmentComments:No additonal comments.,Bingham River Trib,Dons Catchment,06:00 27Aug2025,1.0,3.6,9.8,14.4,145.0,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509248/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509248/509248.htm
509249509249 - Ernies CatchmentComments:No additonal comments.,Bingham River Trib,Ernies Catchment,06:00 27Aug2025,1.6,5.4,18.0,25.0,134.6,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509249/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509249/509249.htm
509265509265 - Boat Landing RdComments:No additonal comments.,Fly Brook,Boat Landing Rd,06:05 27Aug2025,1.6,8.8,29.2,39.6,81.4,12DEC1996,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509265/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509265/509265.htm
509278509278 - Styx JunctionComments:Technical Issues,Kent River,Styx Junction,14:00 07Jul2025,No 3 Day Data,,,NO DATA,NO RECORD,NO RECORD,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509278/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509278/509278.htm
509281509281 - Quinns FordComments:No additonal comments.,Moore River,Quinns Ford,06:00 27Aug2025,4.2,12.4,15.4,32.0,117.0,02MAY1993,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509281/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509281/509281.htm
509295509295 - Dog HillComments:GS 614 030  (Max daily=89mm 14/6/00),Serpentine Drain,Dog Hill,06:00 27Aug2025,0.2,18.8,23.4,42.4,138.6,09FEB1992,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509295/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509295/509295.htm
509296509296 - GiblettComments:No additonal comments.,Carey Brook,Giblett,06:05 27Aug2025,1.8,23.0,29.6,54.4,98.3,13MAY1988,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509296/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509296/509296.htm
509300509300 - Teds PoolComments:No additonal comments.,Deep River,Teds Pool,06:05 27Aug2025,1.6,16.4,22.4,40.4,74.9,08JAN2000,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509300/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509300/509300.htm
509306509306 - Saddleback Rd BridgeComments:No additonal comments.,Williams River,Saddleback Rd Bridge,06:00 27Aug2025,1.2,3.4,23.4,28.0,149.2,16JAN2018,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509306/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509306/509306.htm
509307509307 - Below DamComments:No additonal comments.,Samson Brook,Below Dam,06:00 27Aug2025,0.2,10.6,24.8,35.6,159.6,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509307/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509307/509307.htm
509308509308 - Marradong Rd BridgeComments:GS 614 224,Hotham River,Marradong Rd Bridge,06:05 27Aug2025,0.8,8.8,18.8,28.4,146.4,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509308/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509308/509308.htm
509310509310 - Harris RdComments:No additonal comments.,Vindictive Drain,Harris Rd,06:00 27Aug2025,1.2,4.4,18.0,23.6,112.5,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509310/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509310/509310.htm
509319509319 - OsullivanComments:No additonal comments.,Shannon River Trib,Osullivan,06:00 27Aug2025,3.8,16.2,21.2,41.2,84.5,18JUL1996,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509319/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509319/509319.htm
509321509321 - Maxon FarmComments:No additonal comments.,Batalling Creek,Maxon Farm,06:00 27Aug2025,1.4,1.8,16.6,19.8,147.2,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509321/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509321/509321.htm
509329509329 - Yarragil FormationComments:No additonal comments.,Yarragil Brook,Yarragil Formation,06:00 27Aug2025,0.4,9.8,24.0,34.2,134.4,16JAN2018,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509329/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509329/509329.htm
509355509355 - Whicher RangeComments:No additonal comments.,Margaret River North,Whicher Range,06:00 27Aug2025,0.2,7.8,15.8,23.8,120.8,16JUL2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509355/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509355/509355.htm
509359509359 - Welshpool DepotComments:No additonal comments.,Swanavon Lower Swan,Welshpool Depot,06:00 27Aug2025,0.0,18.2,30.2,48.4,96.2,10FEB2017,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509359/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509359/509359.htm
509366509366 - Bristol RoadComments:No additonal comments.,Harvey River Main Drain,Bristol Road,06:00 27Aug2025,0.0,18.8,17.4,36.2,141.8,21JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509366/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509366/509366.htm
509370509370 - SandalwoodComments:No additonal comments.,Brunswick River,Sandalwood,06:00 27Aug2025,0.2,5.4,43.4,49.0,129.9,22AUG2011,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509370/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509370/509370.htm
509375509375 - BullilupComments:No additonal comments.,Tone River,Bullilup,06:00 27Aug2025,1.2,16.4,20.6,38.2,76.8,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509375/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509375/509375.htm
509383509383 - MettabinupComments:No additonal comments.,Tone River Catchment,Mettabinup,06:00 27Aug2025,0.8,19.0,17.2,37.0,117.4,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509383/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509383/509383.htm
509385509385 - Rocky GlenComments:No additonal comments.,Kent River,Rocky Glen,06:00 27Aug2025,1.8,15.0,15.0,31.8,78.6,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509385/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509385/509385.htm
509388509388 - Yalliawirra NorthComments:No additonal comments.,Brockman River,Yalliawirra North,06:00 27Aug2025,0.4,17.2,25.6,43.2,123.2,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509388/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509388/509388.htm
509394509394 - Lake MuirComments:No additonal comments.,Deep River,Lake Muir,06:00 27Aug2025,1.0,14.8,15.6,31.4,78.3,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509394/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509394/509394.htm
509408509408 - James WellComments:No additonal comments.,Camballin Creek,James Well,06:05 27Aug2025,1.8,3.4,19.2,24.4,129.9,20MAR1993,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509408/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509408/509408.htm
509412509412 - Wattle BlockComments:No additonal comments.,Weld River,Wattle Block,06:00 27Aug2025,2.0,27.6,17.0,46.6,140.5,12DEC1996,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509412/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509412/509412.htm
509413509413 - MattabandComments:No additonal comments.,Weld River,Mattaband,06:05 27Aug2025,2.0,20.6,14.2,36.8,68.5,17NOV1984,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509413/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509413/509413.htm
509418509418 - Sunny GlenComments:No additonal comments.,Hay River,Sunny Glen,06:00 27Aug2025,3.6,17.8,7.2,28.6,81.6,21JUN2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509418/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509418/509418.htm
509439509439 - Sleeman Rd BridgeComments:No additonal comments.,Sleeman River,Sleeman Rd Bridge,06:00 27Aug2025,1.4,16.8,9.0,27.2,91.0,21JUN2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509439/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509439/509439.htm
509453509453 - BeigpiegupComments:No additonal comments.,Mitchell River,Beigpiegup,06:05 27Aug2025,3.0,26.2,8.6,37.8,121.6,02APR2005,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509453/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509453/509453.htm
509597509597 - Bevan StreetComments:No additonal comments.,Albany,Bevan Street,06:00 27Aug2025,2.0,23.0,14.6,39.6,105.6,14MAR2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509597/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509597/509597.htm
509607509607 - PoisonComments:No additonal comments.,Poison Gully,Poison,06:05 27Aug2025,3.0,19.6,14.0,36.6,78.6,19JAN2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509607/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509607/509607.htm
509612509612 - MillipitComments:No additonal comments.,Mileannup,Millipit,06:05 27Aug2025,2.2,22.2,19.6,44.0,69.4,19JAN2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509612/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509612/509612.htm
509646509646 - Old Mandurah RdComments:No additonal comments.,Winter Brook,Old Mandurah Rd,06:00 27Aug2025,0.0,19.0,16.2,35.2,87.2,16JAN2018,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509646/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509646/509646.htm
509648509648 - BootlegComments:No additonal comments.,Bootleg Brewery,Bootleg,06:05 27Aug2025,4.0,13.4,14.6,32.0,71.0,14APR2010,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509648/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509648/509648.htm
509649509649 - WilydownsComments:No additonal comments.,Wilyabrup Downs,Wilydowns,06:05 27Aug2025,7.4,12.8,14.0,34.2,78.9,02MAY2024,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509649/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509649/509649.htm
509650509650 - DuggansComments:No additonal comments.,Duggans Dam,Duggans,06:05 27Aug2025,3.6,6.6,20.0,30.2,80.0,08AUG2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509650/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509650/509650.htm
509651509651 - Bournbrook AvenueComments:No additonal comments.,Cardup Brook,Bournbrook Avenue,06:00 27Aug2025,3.0,17.8,14.8,35.6,97.7,10FEB2017,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509651/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509651/509651.htm
509674509674 - Kaloorup RdComments:No additonal comments.,Carbunup,Kaloorup Rd,06:05 27Aug2025,0.8,9.2,17.6,27.6,87.6,18JUN2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509674/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509674/509674.htm
509675509675 - ClaytonsComments:No additonal comments.,Upper Capel River,Claytons,06:05 27Aug2025,0.8,3.0,30.4,34.2,68.2,03JUL2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509675/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509675/509675.htm
509676509676 - Yeal Ng3 RainfallComments:No additonal comments.,Yeal Rainfall,Yeal Ng3 Rainfall,06:00 27Aug2025,1.0,25.4,21.6,48.0,121.2,14FEB2019,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509676/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509676/509676.htm
509684509684 - McalindenComments:No additonal comments.,Collie River,Mcalinden,06:05 27Aug2025,1.2,7.2,16.6,25.0,70.6,12APR2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509684/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509684/509684.htm
509685509685 - ArchiesComments:No additonal comments.,Lefroy Brook,Archies,06:05 27Aug2025,1.6,17.2,18.0,36.8,60.8,08FEB2021,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509685/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/509685/509685.htm
510018510018 - JelcobineComments:No additonal comments.,Dale River,Jelcobine,06:00 27Aug2025,0.6,3.6,22.8,27.0,107.0,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510018/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510018/510018.htm
510026510026 - Bull CrossingComments:No additonal comments.,Pallinup River,Bull Crossing,06:00 27Aug2025,3.0,5.0,3.4,11.4,105.8,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510026/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510026/510026.htm
510028510028 - Odriscolls FarmComments:No additonal comments.,Mortlock River South,Odriscolls Farm,06:05 27Aug2025,0.0,3.4,14.0,17.4,80.7,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510028/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510028/510028.htm
510040510040 - Mandelup PoolComments:No additonal comments.,Balgarup River,Mandelup Pool,06:05 27Aug2025,0.2,5.8,8.6,14.6,123.7,22JAN1982,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510040/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510040/510040.htm
510042510042 - FrenchesComments:No additonal comments.,Mortlock River North,Frenches,06:00 27Aug2025,0.0,7.0,12.8,19.8,141.2,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510042/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510042/510042.htm
510060510060 - Bibikin Rd BridgeComments:No additonal comments.,Coblinine River,Bibikin Rd Bridge,06:05 27Aug2025,0.2,0.6,14.2,15.0,88.4,10FEB2017,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510060/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510060/510060.htm
510061510061 - Many WatersComments:GS 609 015,Beaufort River,Many Waters,06:05 27Aug2025,0.2,2.4,10.2,12.8,90.2,19JAN2016,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510061/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510061/510061.htm
510076510076 - PiessevilleComments:No additonal comments.,Arthur River,Piesseville,06:00 27Aug2025,0.4,2.6,16.4,19.4,66.2,14MAR2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510076/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510076/510076.htm
510252510252 - Kwolyn HillComments:GS 615 012,Lockhart River,Kwolyn Hill,06:05 27Aug2025,0.0,3.4,3.2,6.6,87.4,22JAN2000,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510252/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510252/510252.htm
510254510254 - Lake Toolibin InflowComments:GS 609 010,Northern Arthur River,Lake Toolibin Inflow,06:00 27Aug2025,0.4,0.2,3.8,4.4,110.8,29JAN1990,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510254/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510254/510254.htm
510598510598 - Waterhatch BridgeComments:No additonal comments.,Dale River,Waterhatch Bridge,06:00 27Aug2025,0.0,3.2,29.0,32.2,79.8,10FEB2017,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510598/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/510598/510598.htm
512233512233 - CascadesComments:No additonal comments.,Young River,Cascades,06:00 27Aug2025,2.2,0.0,2.0,4.2,92.6,14APR2025,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/512233/rr2.htm,https://kumina.water.wa.gov.au/waterinformation/wir/reports/publish/512233/512233.htm
,,,,,,,,,,,
